chr   start   end   SDblocksIndexes
Hg38_Chr19  12469701  12473229 :  351  
Hg38_Chr19  12556573  12565385 :  352  
Hg38_Chr19  12575557  12598672 :  353  
Hg38_Chr19  12599256  12614286 :  354  
Hg38_Chr19  12716142  12743680 :  355  
Hg38_Chr19  12744112  12759122 :  356  
Hg38_Chr19  12781405  12819181 :  357  
Hg38_Chr19  12820209  12833725 :  358  
Hg38_Chr19  12833933  12838453 :  359  
Hg38_Chr19  12838816  12854137 :  360  
Hg38_Chr19  12854322  12869708 :  361  
Hg38_Chr19  12870644  12902969 :  362  
Hg38_Chr19  12918671  12958394 :  363  
Hg38_Chr19  12996480  13095201 :  364  365  
Hg38_Chr19  13095546  13098917 :  366  
Hg38_Chr19  13099085  13113643 :  367  
Hg38_Chr19  13114622  13117578 :  368  
Hg38_Chr19  13118428  13146703 :  369  
Hg38_Chr19  13187862  13192052 :  370  
Hg38_Chr19  13193839  13197854 :  371  
Hg38_Chr19  13209144  13255683 :  372  
Hg38_Chr19  13255743  13297790 :  373  
Hg38_Chr19  13298391  13345909 :  374  
Hg38_Chr19  13347104  13417871 :  375  
Hg38_Chr19  13419125  13489721 :  376  
Hg38_Chr19  13490981  13505887 :  377  
Hg38_Chr19  13506804  13552236 :  378  
Hg38_Chr19  13552368  13597309 :  379  
Hg38_Chr19  13704577  13727942 :  380  
Hg38_Chr19  13761357  13778665 :  381  
Hg38_Chr19  13812460  13818619 :  382  
Hg38_Chr19  13858611  13865017 :  383  
Hg38_Chr19  13866277  13929007 :  384  
Hg38_Chr19  13942712  14001935 :  385  
Hg38_Chr19  14006195  14020120 :  386  
Hg38_Chr19  14021296  14027081 :  387  
Hg38_Chr19  14027299  14033398 :  388  
Hg38_Chr19  14058088  14061060 :  389  
Hg38_Chr19  14079716  14089757 :  390  
Hg38_Chr19  14091101  14099723 :  391  
Hg38_Chr19  14100408  14108500 :  392  
Hg38_Chr19  14109975  14140634 :  393  
Hg38_Chr19  14141556  14178813 :  394  
Hg38_Chr19  14184457  14194909 :  395  
Hg38_Chr19  14198438  14206165 :  396  
Hg38_Chr19  14217608  14220604 :  397  
Hg38_Chr19  14249547  14253195 :  398  
Hg38_Chr19  14298891  14321855 :  399  
Hg38_Chr19  14380350  14389092 :  400  
Hg38_Chr19  14492572  14495777 :  401  
Hg38_Chr19  14496496  14517713 :  402  
Hg38_Chr19  14518156  14536284 :  403  404  405  
Hg38_Chr19  14568930  14587200 :  406  
Hg38_Chr19  14589518  14598262 :  407  
Hg38_Chr19  14599354  14606076 :  408  
Hg38_Chr19  14659203  14668200 :  409  
Hg38_Chr19  14670087  14685305 :  410  
Hg38_Chr19  14698587  14737252 :  411  412  
Hg38_Chr19  14737675  14748520 :  413  
Hg38_Chr19  14750041  14759514 :  414  
Hg38_Chr19  14797739  14887343 :  415  416  
Hg38_Chr19  14888284  14935900 :  417  
Hg38_Chr19  14953298  14979477 :  418  
Hg38_Chr19  14986101  15031788 :  419  
Hg38_Chr19  15043641  15073810 :  420  
Hg38_Chr19  15073827  15091852 :  421  
Hg38_Chr19  15092739  15176736 :  422  
Hg38_Chr19  15177193  15199790 :  423  
Hg38_Chr19  15232843  15331751 :  424  425  426  427  
Hg38_Chr19  15391557  15462419 :  428  429  
Hg38_Chr19  15462950  15487142 :  430  
Hg38_Chr19  15487662  15490750 :  431  
Hg38_Chr19  15496280  15558949 :  432  433  434  
Hg38_Chr19  15561900  15597138 :  435  
Hg38_Chr19  15638195  15651385 :  436  
Hg38_Chr19  15651737  15672675 :  437  438  
Hg38_Chr19  15676705  15690257 :  439  440  
Hg38_Chr19  15692072  15705760 :  441  442  
Hg38_Chr19  15714537  15737501 :  443  
Hg38_Chr19  15738774  15778382 :  444  445  
Hg38_Chr19  15785766  15793860 :  446  
Hg38_Chr19  15804704  15874163 :  447  448  
Hg38_Chr19  15888246  15931641 :  449  450  
Hg38_Chr19  15933933  16001843 :  451  452  
Hg38_Chr19  16004088  16021738 :  453  
Hg38_Chr19  16057785  16101358 :  454  
Hg38_Chr19  16102909  16159091 :  455  
Hg38_Chr19  16160282  16215379 :  456  
Hg38_Chr19  16256613  16267993 :  457  
Hg38_Chr19  16303531  16307632 :  458  
Hg38_Chr19  16315667  16318784 :  459  
Hg38_Chr19  16329578  16407396 :  460  
Hg38_Chr19  16427920  16451575 :  461  
Hg38_Chr19  16452200  16472497 :  462  
Hg38_Chr19  16542755  16627957 :  463  
Hg38_Chr19  16639320  16660998 :  464  
Hg38_Chr19  16669694  16671223 :  465  
Hg38_Chr19  16739337  16740649 :  466  
Hg38_Chr19  16742345  16751518 :  467  
Hg38_Chr19  16778789  16875256 :  468  
Hg38_Chr19  16897726  16910185 :  469  
Hg38_Chr19  16911626  16918309 :  470  
Hg38_Chr19  16918439  16965225 :  471  
Hg38_Chr19  16981083  17018652 :  472  
Hg38_Chr19  17034986  17100028 :  473  474  475  
Hg38_Chr19  17100157  17121243 :  476  
Hg38_Chr19  17133901  17146471 :  477  
Hg38_Chr19  17147846  17174078 :  478  
Hg38_Chr19  17177175  17178429 :  479  
Hg38_Chr19  17196702  17216925 :  480  
Hg38_Chr19  17225806  17235653 :  481  482  
Hg38_Chr19  17236204  17239590 :  483  
Hg38_Chr19  17254554  17256954 :  484  
Hg38_Chr19  17295360  17297343 :  -1100  
Hg38_Chr19  17317229  17323435 :  485  
Hg38_Chr19  17323790  17327740 :  486  
Hg38_Chr19  17343206  17369184 :  487  
Hg38_Chr19  17374853  17381308 :  488  
Hg38_Chr19  17384825  17393390 :  489  
Hg38_Chr19  17408567  17438312 :  490  491  
Hg38_Chr19  17439198  17444524 :  492  
Hg38_Chr19  17449802  17454695 :  493  
Hg38_Chr19  17518782  17536693 :  494  
Hg38_Chr19  17536852  17558192 :  495  496  
Hg38_Chr19  17559789  17563175 :  497  
Hg38_Chr19  17564416  17573160 :  498  
Hg38_Chr19  17575708  17595012 :  499  
Hg38_Chr19  17596664  17607319 :  500  
Hg38_Chr19  17648010  17660579 :  501  502  
Hg38_Chr19  17662852  17700277 :  503  
Hg38_Chr19  17708790  17710271 :  504  
Hg38_Chr19  17718602  17739879 :  505  
Hg38_Chr19  17747115  17793096 :  506  
Hg38_Chr19  17925860  17948046 :  507  
Hg38_Chr19  17948583  17955541 :  508  
Hg38_Chr19  17957218  17966921 :  509  
Hg38_Chr19  17967130  17979205 :  510  
Hg38_Chr19  17982894  18003978 :  511  
Hg38_Chr19  18043285  18052319 :  512  
Hg38_Chr19  18052338  18064456 :  513  
Hg38_Chr19  18064661  18116486 :  514  515  
Hg38_Chr19  18147182  18161176 :  516  
Hg38_Chr19  18162589  18164410 :  517  
Hg38_Chr19  18191512  18206929 :  518  
Hg38_Chr19  18207595  18272428 :  519  
Hg38_Chr19  18282148  18283174 :  520  
Hg38_Chr19  18302637  18454253 :  521  
Hg38_Chr19  18455781  18521641 :  522  
Hg38_Chr19  18522160  18542988 :  523  
Hg38_Chr19  18543521  18545044 :  524  
Hg38_Chr19  18557434  18565256 :  525  526  
Hg38_Chr19  18585839  18606005 :  527  
Hg38_Chr19  18607746  18611617 :  528  
Hg38_Chr19  18611858  18618643 :  529  
Hg38_Chr19  18620067  18628953 :  530  
Hg38_Chr19  18632758  18634038 :  531  
Hg38_Chr19  18634116  18639373 :  532  
Hg38_Chr19  18656996  18664612 :  533  
Hg38_Chr19  18665140  18677764 :  534  
Hg38_Chr19  18683973  18752529 :  535  536  537  538  
Hg38_Chr19  18763093  18788031 :  539  
Hg38_Chr19  18789160  18806019 :  540  
Hg38_Chr19  18843001  18869670 :  541  542  543  
Hg38_Chr19  18890497  18893948 :  544  
Hg38_Chr19  18894027  18896023 :  545  
Hg38_Chr19  18912596  18930001 :  546  
Hg38_Chr19  18930265  18941112 :  547  
Hg38_Chr19  18941409  18950121 :  548  
Hg38_Chr19  18950518  19007643 :  549  
Hg38_Chr19  19007962  19033740 :  550  
Hg38_Chr19  19033916  19038727 :  551  
Hg38_Chr19  19039620  19114062 :  552  
Hg38_Chr19  19150342  19158306 :  553  
Hg38_Chr19  19195827  19200780 :  554  
Hg38_Chr19  19200903  19253544 :  555  556  
Hg38_Chr19  19254308  19363287 :  557  558  559  560  561  
Hg38_Chr19  19382343  19405531 :  562  
Hg38_Chr19  19406058  19419557 :  563  
Hg38_Chr19  19420410  19513348 :  564  
Hg38_Chr19  19518743  19571966 :  565  566  
Hg38_Chr19  19588456  19598934 :  567  
Hg38_Chr19  19600132  19664236 :  568  
Hg38_Chr19  19666717  19687413 :  569  
Hg38_Chr19  19701972  19721708 :  570  
Hg38_Chr19  19726106  19756533 :  571  572  
Hg38_Chr19  19757239  19769459 :  573  
Hg38_Chr19  19770851  19791813 :  574  575  576  
Hg38_Chr19  19796257  19802284 :  577  
Hg38_Chr19  19808404  19847347 :  578  579  
Hg38_Chr19  19852699  19859579 :  580  
Hg38_Chr19  19876218  19909031 :  581  
Hg38_Chr19  19913391  19919592 :  582  
Hg38_Chr19  19938165  19939745 :  583  
Hg38_Chr19  19940664  19972399 :  584  
Hg38_Chr19  19974287  19985658 :  585  
Hg38_Chr19  19988420  20031858 :  586  
Hg38_Chr19  20031860  20035377 :  587  
Hg38_Chr19  20036606  20044358 :  588  
Hg38_Chr19  20056522  20063500 :  589  
Hg38_Chr19  20095976  20133150 :  590  
Hg38_Chr19  20177615  20181583 :  591  
Hg38_Chr19  20185631  20201730 :  592  
Hg38_Chr19  20218653  20249854 :  593  594  
Hg38_Chr19  20254861  20260245 :  595  
Hg38_Chr19  20277394  20290719 :  596  
Hg38_Chr19  20336308  20349055 :  597  
Hg38_Chr19  20352699  20391723 :  598  
Hg38_Chr19  20404877  20410342 :  599  600  601  
Hg38_Chr19  20413260  20454449 :  602  
Hg38_Chr19  20466187  20484002 :  603  
Hg38_Chr19  20496373  20519236 :  604  
Hg38_Chr19  20531339  20534889 :  605  
Hg38_Chr19  20544036  20569734 :  606  
Hg38_Chr19  20587721  20590880 :  607  
Hg38_Chr19  20596281  20628689 :  608  
Hg38_Chr19  20647515  20650256 :  609  
Hg38_Chr19  20651798  20666156 :  610  
Hg38_Chr19  20666647  20668237 :  611  
Hg38_Chr19  20684438  20694226 :  612  
Hg38_Chr19  20694272  20724627 :  613  
Hg38_Chr19  20725825  20737891 :  614  
Hg38_Chr19  20741955  20747322 :  615  
Hg38_Chr19  20755135  20761286 :  616  
Hg38_Chr19  20761574  20772547 :  617  
Hg38_Chr19  20775967  20785775 :  618  619  
Hg38_Chr19  20787025  20805005 :  620  
Hg38_Chr19  20846256  20851418 :  621  
Hg38_Chr19  20930109  20946796 :  622  
Hg38_Chr19  20954836  20957141 :  623  
Hg38_Chr19  20963421  21004679 :  624  625  
Hg38_Chr19  21020087  21049156 :  626  627  
Hg38_Chr19  21066231  21136312 :  628  
Hg38_Chr19  21137682  21145337 :  629  
Hg38_Chr19  21150013  21161693 :  630  
Hg38_Chr19  21165182  21170140 :  631  
Hg38_Chr19  21184174  21185638 :  632  
Hg38_Chr19  21188260  21213136 :  633  
Hg38_Chr19  21213429  21222249 :  634  
Hg38_Chr19  21222879  21251005 :  635  
Hg38_Chr19  21275215  21279576 :  636  
Hg38_Chr19  21281712  21376793 :  637  638  639  
Hg38_Chr19  21382491  21391039 :  640  641  
Hg38_Chr19  21424214  21425699 :  642  
Hg38_Chr19  21426046  21428266 :  643  
Hg38_Chr19  21429246  21453837 :  644  
Hg38_Chr19  21487689  21510861 :  645  
Hg38_Chr19  21538484  21550658 :  646  
Hg38_Chr19  21561134  21563616 :  647  
Hg38_Chr19  21581845  21605649 :  648  
Hg38_Chr19  21607476  21655774 :  649  
Hg38_Chr19  21661700  21668894 :  650  
Hg38_Chr19  21672483  21681223 :  651  
Hg38_Chr19  21707755  21720257 :  652  
Hg38_Chr19  21722757  21725032 :  653  
Hg38_Chr19  21728131  21729588 :  654  
Hg38_Chr19  21733136  21765793 :  655  656  
Hg38_Chr19  21782732  21801919 :  657  658  
Hg38_Chr19  21802524  21805282 :  659  
Hg38_Chr19  21806168  21820046 :  660  
Hg38_Chr19  21837120  21844833 :  661  
Hg38_Chr19  21868088  21871939 :  662  
Hg38_Chr19  21889776  21955968 :  663  664  
Hg38_Chr19  21956327  21971377 :  665  
Hg38_Chr19  21974318  21989039 :  666  
Hg38_Chr19  22007269  22009506 :  667  
Hg38_Chr19  22076690  22106088 :  668  669  
Hg38_Chr19  22138921  22181377 :  670  671  
Hg38_Chr19  22202304  22206669 :  672  
Hg38_Chr19  22213008  22215075 :  673  
Hg38_Chr19  22221427  22225374 :  674  
Hg38_Chr19  22261997  22269380 :  675  676  
Hg38_Chr19  22286024  22292839 :  677  
Hg38_Chr19  22322522  22338664 :  678  
Hg38_Chr19  22521363  22560915 :  679  
Hg38_Chr19  22564180  22568531 :  680  
Hg38_Chr19  22575824  22585355 :  681  
Hg38_Chr19  22585668  22618140 :  682  683  
Hg38_Chr19  22619179  22633999 :  684  685  
Hg38_Chr19  22679550  22681958 :  686  
Hg38_Chr19  22698982  22700371 :  687  
Hg38_Chr19  22766640  22770653 :  688  
Hg38_Chr19  22771722  22774634 :  689  
Hg38_Chr19  22776244  22783262 :  690  
Hg38_Chr19  22803982  22864861 :  691  
Hg38_Chr19  22872133  22881366 :  692  
Hg38_Chr19  22971630  22982245 :  693  
Hg38_Chr19  22984589  22988472 :  694  
Hg38_Chr19  22992303  23073060 :  695  
Hg38_Chr19  23118819  23134342 :  696  697  
Hg38_Chr19  23141543  23159557 :  698  
Hg38_Chr19  23189329  23193049 :  699  
Hg38_Chr19  23198147  23201393 :  700  
Hg38_Chr19  23202889  23208405 :  701  
Hg38_Chr19  23258398  23273616 :  702  
Hg38_Chr19  23290371  23316755 :  703  
Hg38_Chr19  23323149  23329651 :  704  
Hg38_Chr19  23330597  23361748 :  705  
